,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,definition
12336,12337,驅車,精熟,第7級,,4,1,"[['驅車', ['25895']]]",ㄑㄩ ㄔㄜ,qūchē,to go by car (as either driver or passenger)
12337,12338,屈從,精熟,第7級,,3,0,[],ㄑㄩ ㄘㄨㄥˊ,qūcóng,to capitulate
12338,12339,驅趕,精熟,第7級,,4,6,"[['驅趕', ['25892']]]",ㄑㄩ ㄍㄢˇ,qūgǎn,"to drive (vehicle), to drive out, to chase away, to herd (people towards a gate)"
12339,12340,取暖,精熟,第7級,,4,4,[],ㄑㄩˇ ㄋㄨㄢˇ,qǔnuǎn,to warm oneself (by a fire etc)
12340,12341,屈辱,精熟,第7級,,7,1,"[['屈辱', ['25861']]]",ㄑㄩ ㄖㄨˋ,qūrù,"to humiliate, humiliating"
12341,12342,驅散,精熟,第7級,,3,1,"[['驅散', ['25899']]]",ㄑㄩ ㄙㄢˋ,qūsàn,"to disperse (a crowd etc), (fig.) to dispel (misgivings etc)"
12342,12343,趣事,精熟,第7級,,3,1,"[['趣事', ['25969']]]",ㄑㄩˋ ㄕˋ,qùshì,"entertaining anecdote, interesting story or incident"
12343,12344,屈膝,精熟,第7級,,3,0,"[['屈膝', ['25858']]]",ㄑㄩ ㄒㄧ,qūxī,to kneel; metaphor of surrender 
12344,12345,去向,精熟,第7級,,3,0,"[['去向', ['25958']]]",ㄑㄩˋ ㄒㄧㄤˋ,qùxiàng,"direction in which sb or sth has gone, whereabouts"
12345,12346,取樣,精熟,第7級,,3,2,"[['取樣', ['25944']]]",ㄑㄩˇ ㄧㄤˋ,qǔyàng,to take a sample
12346,12347,曲,精熟,第7級,,21,10,"[['曲', ['25839', '25916']]]",ㄑㄩ,qū/,"bent, crooked, wrong"
12347,12348,拳打腳踢,精熟,第7級,,3,0,[],ㄑㄩㄢˊ ㄉㄚˇ ㄐㄧㄠˇ ㄊㄧ,quándǎjiǎotī,"lit. to punch and kick (idiom), to beat up, fig. determined to sort out a problem"
12348,12349,勸導,精熟,第7級,,3,3,"[['勸導', ['26141']]]",ㄑㄩㄢˋ ㄉㄠˇ,quàndǎo,"to advise, to attempt to convince"
12349,12350,權貴,精熟,第7級,,6,0,"[['權貴', ['26115']]]",ㄑㄩㄢˊ ㄍㄨㄟˋ,quánguì,"influential officials, bigwigs"
12350,12351,權衡,精熟,第7級,,3,1,"[['權衡', ['26116']]]",ㄑㄩㄢˊ ㄏㄥˊ,quánhéng,"to consider, to weigh (a matter), to balance (pros and cons)"
12351,12352,拳擊,精熟,第7級,,4,3,"[['拳擊', ['26094']]]",ㄑㄩㄢˊ ㄐㄧˊ,quánjí,boxing
12352,12353,全軍覆沒,精熟,第7級,,4,1,"[['全軍覆沒', ['26055']]]",ㄑㄩㄢˊ ㄐㄩㄣ ㄈㄨˋ ㄇㄛˋ,quánjūnfùmò,"total defeat of an army (idiom), fig. a complete wipeout"
12353,12354,全力以赴,精熟,第7級,,6,7,"[['全力以赴', ['26048']]]",ㄑㄩㄢˊ ㄌㄧˋ ㄧˇ ㄈㄨˋ,quánlìyǐfù,"to do at all costs, to make an all-out effort"
12354,12355,全貌,精熟,第7級,,4,1,[],ㄑㄩㄢˊ ㄇㄠˋ,quánmào,"complete picture, full view"
12355,12356,蜷曲,精熟,第7級,,2,1,"[['蜷曲', ['26102']]]",ㄑㄩㄢˊ ㄑㄩ,quánqū,"twisted, coiled, curled"
12356,12357,全盛,精熟,第7級,,3,3,"[['全盛', ['26071']]]",ㄑㄩㄢˊ ㄕㄥˋ,quánshèng,"flourishing, at the peak, in full bloom"
12357,12358,蜷縮,精熟,第7級,,3,1,"[['蜷縮', ['26103']]]",ㄑㄩㄢˊ ㄙㄨㄛ,quánsuō,"to curl up, to huddle, to cower, cringing"
12358,12359,圈套,精熟,第7級,,5,1,"[['圈套', ['26026']]]",ㄑㄩㄢ ㄊㄠˋ,quāntào,"trap, snare, trick"
12359,12360,權位,精熟,第7級,,3,1,"[['權位', ['26127']]]",ㄑㄩㄢˊ ㄨㄟˋ,quánwèi,power and position (politics)
12360,12361,泉湧,精熟,第7級,,3,1,"[['泉湧', ['26109']]]",ㄑㄩㄢˊ ㄩㄥˇ,quányǒng,to gush
12361,12362,泉源,精熟,第7級,,5,3,"[['泉源', ['26108']]]",ㄑㄩㄢˊ ㄩㄢˊ,quányuán,"springhead, fountainhead, (fig.) source"
12362,12363,卻步,精熟,第7級,,2,1,"[['卻步', ['25999']]]",ㄑㄩㄝˋ ㄅㄨˋ,quèbù,to step back
12363,12364,缺憾,精熟,第7級,,4,3,"[['缺憾', ['25981']]]",ㄑㄩㄝ ㄏㄢˋ,quēhàn,"a regret, sth regrettable"
12364,12365,怯懦,精熟,第7級,,3,0,"[['怯懦', ['25993']]]",ㄑㄩㄝˋ ㄋㄨㄛˋ,quènuò,"timid, gutless, weakling"
12365,12366,雀躍,精熟,第7級,,6,1,"[['雀躍', ['26004']]]",ㄑㄩㄝˋ ㄩㄝˋ,quèyuè,"excited, in high spirits"
12366,12367,確鑿,精熟,第7級,,4,1,"[['確鑿', ['26018']]]",ㄑㄩㄝˋ ㄗㄠˊ,quèzáo,"definite, conclusive, undeniable, authentic, also pr. [que4 zuo4]"
12367,12368,群聚,精熟,第7級,,3,4,"[['群聚', ['26168']]]",ㄑㄩㄣˊ ㄐㄩˋ,qúnjù,"to gather, to congregate, to aggregate"
12368,12369,趨前,精熟,第7級,,3,0,[],ㄑㄩㄑㄧㄢˊ,qūqián,to incline body forward
12369,12370,繞道,精熟,第7級,,4,2,"[['繞道', ['35983']]]",ㄖㄠˋ ㄉㄠˋ,ràodào,"to go by a roundabout route, to take a detour, (medicine or civil engineering) bypass"
12370,12371,饒富,精熟,第7級,,2,1,[],ㄖㄠˊ ㄈㄨˋ,ráofù,to be rich in (some quality or other)
12371,12372,饒恕,精熟,第7級,,3,1,"[['饒恕', ['35974']]]",ㄖㄠˊ ㄕㄨˋ,ráoshù,"to forgive, to pardon, to spare"
12372,12373,繞行,精熟,第7級,,3,2,"[['繞行', ['35988']]]",ㄖㄠˋ ㄒㄧㄥˊ,ràoxíng,"to take a circular (or circuitous) route, to do a circuit, (of a planet) to orbit, (of a sailor) to circumnavigate, to take a detour, to bypass"
12373,12374,熱誠,精熟,第7級,,6,3,"[['熱誠', ['35956']]]",ㄖㄜˋ ㄔㄥˊ,rèchéng,"devotion, fervor"
12374,12375,惹禍,精熟,第7級,,3,1,"[['惹禍', ['35914']]]",ㄖㄜˇ ㄏㄨㄛˋ,rěhuò,"to stir up trouble, to invite disaster"
12375,12376,熱淚,精熟,第7級,,3,1,"[['熱淚', ['35930']]]",ㄖㄜˋ ㄌㄟˋ,rèlèi,hot tears
12376,12377,熱淚盈眶,精熟,第7級,,3,2,"[['熱淚盈眶', ['35931']]]",ㄖㄜˋ ㄌㄟˋ ㄧㄥˊ ㄎㄨㄤ,rèlèiyíngkuāng,"eyes brimming with tears of excitement (idiom), extremely moved"
12377,12378,熱戀,精熟,第7級,,3,1,"[['熱戀', ['35935']]]",ㄖㄜˋ ㄌㄧㄢˋ,rèliàn,"to fall head over heels in love, to be passionately in love"
12378,12379,熱絡,精熟,第7級,,4,4,"[['熱絡', ['35937']]]",ㄖㄜˋ ㄌㄨㄛˋ,rèluò,"intimate, friendly, warm, active, lively (interaction, participation etc)"
12379,12380,惹惱,精熟,第7級,,3,1,[],ㄖㄜˇ ㄋㄠˇ,rěnǎo,to offend
12380,12381,熱騰騰,精熟,第7級,,5,7,"[['熱騰騰', ['35927']]]",ㄖㄜˋ ㄊㄥˊ ㄊㄥˊ,rèténgténg,"steaming hot, (fig.) bustling, hectic, (fig.) excited, stirred up, (fig.) created only a short time before, freshly minted, hot off the press, (coll.) also pr. [re4 teng1 teng1]"
12381,12382,人本,精熟,第7級,,5,2,[],ㄖㄣˊ ㄅㄣˇ,rénběn,humanism
12382,12383,人稱,精熟,第7級,,3,1,"[['人稱', ['36146']]]",ㄖㄣˊ ㄔㄥ,rénchēng,"person (first person, second person etc in grammar), called, known as"
12383,12384,人和,精熟,第7級,,4,2,"[['人和', ['36100']]]",ㄖㄣˊ ㄏㄜˊ,rénhé,unity and harmony between people
12384,12385,人跡,精熟,第7級,,3,1,"[['人跡', ['36104']]]",ㄖㄣˊ ㄐㄧ,rénjī,human trace
12385,12386,人來人往,精熟,第7級,,2,1,[],ㄖㄣˊ ㄌㄞˊ ㄖㄣˊ ㄨㄤˇ,rénláirénwǎng,people coming and going
12386,12387,人面,精熟,第7級,,3,6,[],ㄖㄣˊ ㄇㄧㄢˋ,rénmiàn,people face; people
12387,12388,認命,精熟,第7級,,4,6,"[['認命', ['36242']]]",ㄖㄣˋ ㄇㄧㄥˋ,rènmìng,"to accept misfortunes as decreed by fate, to be resigned to sth"
12388,12389,人品,精熟,第7級,,5,2,"[['人品', ['36056']]]",ㄖㄣˊ ㄆㄧㄣˇ,rénpǐn,"character, moral strength, integrity, (coll.) looks, appearance, bearing"
12389,12390,忍氣吞聲,精熟,第7級,,3,0,"[['忍氣吞聲', ['36222']]]",ㄖㄣˇ ㄑㄧˋ ㄊㄨㄣ ㄕㄥ,rěnqìtūnshēng,"to submit to humiliation (idiom), to suffer in silence, to swallow one's anger, to grin and bear it"
12390,12391,人像,精熟,第7級,,3,1,"[['人像', ['36133']]]",ㄖㄣˊ ㄒㄧㄤˋ,rénxiàng,"likeness of a person (sketch, photo, sculpture etc)"
12391,12392,人心惶惶,精熟,第7級,,2,3,"[['人心惶惶', ['36132']]]",ㄖㄣˊ ㄒㄧㄣ ㄏㄨㄤˊ ㄏㄨㄤˊ,rénxīnhuánghuáng,"(idiom) everyone is anxious, (of a group of people) to feel anxious"
12392,12393,人煙,精熟,第7級,,5,3,"[['人煙', ['36179']]]",ㄖㄣˊ ㄧㄢ,rényān,sign of human habitation
12393,12394,人云亦云,精熟,第7級,,3,1,"[['人云亦云', ['36197']]]",ㄖㄣˊ ㄩㄣˊ ㄧˋ ㄩㄣˊ,rényúnyìyún,"to say what everyone says (idiom), to conform to what one perceives to be the majority view, to follow the herd"
12394,12395,認證,精熟,第7級,,4,38,"[['認證', ['36254']]]",ㄖㄣˋ ㄓㄥˋ,rènzhèng,"to authenticate, to approve"
12395,12396,人種,精熟,第7級,,7,4,"[['人種', ['36144']]]",ㄖㄣˊ ㄓㄨㄥˇ,rénzhǒng,race (of people)
12396,12397,日復一日,精熟,第7級,,6,3,"[['日復一日', ['35863']]]",ㄖˋ ㄈㄨˋ ㄧˊ ㄖˋ,rìfùyírì,day after day
12397,12398,日積月累,精熟,第7級,,3,3,"[['日積月累', ['35876']]]",ㄖˋ ㄐㄧ ㄩㄝˋ ㄌㄟˇ,rìjīyuèlěi,to accumulate over a long period of time
12398,12399,日曆,精熟,第7級,,4,1,"[['日曆', ['35868']]]",ㄖˋ ㄌㄧˋ,rìlì,"calendar, CL:張|张[zhang1], 本[ben3]"
12399,12400,日前,精熟,第7級,,4,4,"[['日前', ['35885']]]",ㄖˋ ㄑㄧㄢˊ,rìqián,"the other day, a few days ago"
12400,12401,日曬,精熟,第7級,,3,9,[],ㄖˋ ㄕㄞˋ,rìshài,sundried
12401,12402,日新月異,精熟,第7級,,3,3,"[['日新月異', ['35889']]]",ㄖˋ ㄒㄧㄣ ㄩㄝˋ ㄧˋ,rìxīnyuèyì,"daily renewal, monthly change (idiom), every day sees new developments, rapid progress"
12402,12403,日誌,精熟,第7級,,6,3,"[['日誌', ['35891']]]",ㄖˋ ㄓˋ,rìzhì,"journal, log (computing)"
12403,12404,容光煥發,精熟,第7級,,3,2,"[['容光煥發', ['36559']]]",ㄖㄨㄥˊ ㄍㄨㄤ ㄏㄨㄢˋ ㄈㄚ,róngguānghuànfā,"face glowing (idiom), looking radiant, all smiles"
12404,12405,溶化,精熟,第7級,,2,3,"[['溶化', ['36573']]]",ㄖㄨㄥˊ ㄏㄨㄚˋ,rónghuà,"to melt, to dissolve (of sugar etc)"
12405,12406,榮華富貴,精熟,第7級,,4,1,"[['榮華富貴', ['36597']]]",ㄖㄨㄥˊ ㄏㄨㄚˊ ㄈㄨˋ ㄍㄨㄟˋ,rónghuáfùguì,"glory, splendor, wealth and rank (idiom), high position and great wealth"
12406,12407,融會貫通,精熟,第7級,,3,1,"[['融會貫通', ['36615']]]",ㄖㄨㄥˊ ㄏㄨㄟˋ ㄍㄨㄢˋ ㄊㄨㄥ,rónghuìguàntōng,to master the subject via a comprehensive study of surrounding areas
12407,12408,榮獲,精熟,第7級,,5,5,"[['榮獲', ['36598']]]",ㄖㄨㄥˊ ㄏㄨㄛˋ,rónghuò,be honored with
12408,12409,溶解,精熟,第7級,,3,15,"[['溶解', ['36575']]]",ㄖㄨㄥˊ ㄐㄧㄝˇ,róngjiě,to dissolve
12409,12410,絨毛,精熟,第7級,,3,3,"[['絨毛', ['36552']]]",ㄖㄨㄥˊ ㄇㄠˊ,róngmáo,"fur, down (soft fur), villi capillary (in the small intestine)"
12410,12411,容顏,精熟,第7級,,3,2,"[['容顏', ['36570']]]",ㄖㄨㄥˊ ㄧㄢˊ,róngyán,"mien, complexion"
12411,12412,蹂躪,精熟,第7級,,4,1,"[['蹂躪', ['36008']]]",ㄖㄡˊ ㄌㄧㄣˋ,róulìn,"to ravage, to devastate, to trample on, to violate"
12412,12413,柔情,精熟,第7級,,5,2,"[['柔情', ['35996']]]",ㄖㄡˊ ㄑㄧㄥˊ,róuqíng,"gentle feelings, tender sentiments"
12413,12414,柔弱,精熟,第7級,,4,2,"[['柔弱', ['36001']]]",ㄖㄡˊ ㄖㄨㄛˋ,róuruò,"weak, delicate"
12414,12415,柔順,精熟,第7級,,4,1,"[['柔順', ['35999']]]",ㄖㄡˊ ㄕㄨㄣˋ,róushùn,"gentle and agreeable, supple, yielding"
12415,12416,肉眼,精熟,第7級,,6,9,"[['肉眼', ['36029']]]",ㄖㄡˋ ㄧㄢˇ,ròuyǎn,"naked eye, layman's eyes"
12416,12417,汝,精熟,第7級,,13,6,"[['汝', ['36391']]]",ㄖㄨˇ,rǔ,thou
12417,12418,如常,精熟,第7級,,3,1,"[['如常', ['36342']]]",ㄖㄨˊ ㄔㄤˊ,rúcháng,as usual
12418,12419,如出一轍,精熟,第7級,,4,1,"[['如出一轍', ['36343']]]",ㄖㄨˊ ㄔㄨ ㄧ ㄔㄜˋ,rúchūyīchè,"to be precisely the same, to be no different"
12419,12420,蠕動,精熟,第7級,,7,4,"[['蠕動', ['36389']]]",ㄖㄨˊ ㄉㄨㄥˋ,rúdòng,"to wiggle, to squirm, peristalsis (wave movement of gut wall)"
12420,12421,如法炮製,精熟,第7級,,3,1,"[['如法炮製', ['36315']]]",ㄖㄨˊ ㄈㄚˇ ㄆㄠˊ ㄓˋ,rúfǎpáozhì,"lit. to follow the recipe (idiom), fig. to follow a set pattern"
12421,12422,如火如荼,精熟,第7級,,3,1,"[['如火如荼', ['36330']]]",ㄖㄨˊ ㄏㄨㄛˇ ㄖㄨˊ ㄊㄨˊ,rúhuǒrútú,"like wildfire (idiom), unstoppable"
12422,12423,辱罵,精熟,第7級,,5,1,"[['辱罵', ['36463']]]",ㄖㄨˋ ㄇㄚˋ,rùmà,"to insult, to revile, abuse, vituperation"
12423,12424,入迷,精熟,第7級,,3,2,"[['入迷', ['36417']]]",ㄖㄨˋ ㄇㄧˊ,rùmí,"to be fascinated, to be enchanted"
12424,12425,如日中天,精熟,第7級,,2,0,"[['如日中天', ['36350']]]",ㄖㄨˊ ㄖˋ ㄓㄨㄥ ㄊㄧㄢ,rúrìzhōngtiān,"lit. like the sun at noon (idiom), fig. to be at the peak of one's power, career etc"
12425,12426,如實,精熟,第7級,,4,3,[],ㄖㄨˊ ㄕˊ,rúshí,"as things really are, realistic"
12426,12427,如釋重負,精熟,第7級,,4,1,"[['如釋重負', ['36346']]]",ㄖㄨˊ ㄕˋ ㄓㄨㄥˋ ㄈㄨˋ,rúshìzhòngfù,"as if relieved from a burden (idiom), to have a weight off one's mind"
12427,12428,入手,精熟,第7級,,3,1,"[['入手', ['36449']]]",ㄖㄨˋ ㄕㄡˇ,rùshǒu,"to begin (with ...) (typically used in a structure such as 從|从[cong2] + {noun} + 入手[ru4 shou3]: ""to begin with {noun}, to take {noun} as one's starting point""), to receive, to obtain, to buy"
12428,12429,如數家珍,精熟,第7級,,2,2,"[['如數家珍', ['36347']]]",ㄖㄨˊ ㄕㄨˇ ㄐㄧㄚ ㄓㄣ,rúshǔjiāzhēn,"lit. as if enumerating one's family valuables (idiom), fig. to be very familiar with a matter"
12429,12430,入微,精熟,第7級,,3,0,[],ㄖㄨˋ ㄨㄟˊ,rùwéi,"down to the smallest detail, thoroughgoing, fine and detailed"
12430,12431,入伍,精熟,第7級,,4,0,"[['入伍', ['36458']]]",ㄖㄨˋ ㄨˇ,rùwǔ,"to enter the army, to enlist"
12431,12432,如影隨形,精熟,第7級,,2,1,"[['如影隨形', ['36362']]]",ㄖㄨˊ ㄧㄥˇ ㄙㄨㄟˊ ㄒㄧㄥˊ,rúyǐngsuíxíng,"as the shadow follows the body (idiom), closely associated with each other, to follow relentlessly"
12432,12433,如願以償,精熟,第7級,,3,1,"[['如願以償', ['36367']]]",ㄖㄨˊ ㄩㄢˋ ㄧˇ ㄔㄤˊ,rúyuànyǐcháng,to have one's wish fulfilled
12433,12434,軟禁,精熟,第7級,,4,2,"[['軟禁', ['36530']]]",ㄖㄨㄢˇ ㄐㄧㄣˋ,ruǎnjìn,to place under house arrest
12434,12435,銳減,精熟,第7級,,2,6,"[['銳減', ['36511']]]",ㄖㄨㄟˋ ㄐㄧㄢˇ,ruìjiǎn,steep decline
12435,12436,睿智,精熟,第7級,,6,1,"[['睿智', ['36503']]]",ㄖㄨㄟˋ ㄓˋ,ruìzhì,wise and farsighted
12436,12437,偌大,精熟,第7級,,4,2,"[['偌大', ['36481']]]",ㄖㄨㄛˋ ㄉㄚˋ,ruòdà,"so big, such a big"
12437,12438,撒嬌,精熟,第7級,,4,8,"[['撒嬌', ['38721']]]",ㄙㄚ ㄐㄧㄠ,sājiāo,"to act like a spoiled child, to throw a tantrum, to act coquettishly"
12438,12439,撒手,精熟,第7級,,3,1,"[['撒手', ['38722']]]",ㄙㄚ ㄕㄡˇ,sāshǒu,"to let go of sth, to give up"
12439,12440,腮,精熟,第7級,,4,1,"[['腮', ['38766']]]",ㄙㄞ,sāi,cheek
12440,12441,賽車,精熟,第7級,,5,3,"[['賽車', ['38783']]]",ㄙㄞˋ ㄔㄜ,sàichē,"auto race, cycle race, race car"
12441,12442,賽馬,精熟,第7級,,4,1,"[['賽馬', ['38779']]]",ㄙㄞˋ ㄇㄚˇ,sàimǎ,"horse race, horse racing"
12442,12443,三部曲,精熟,第7級,,3,1,"[['三部曲', ['38852']]]",ㄙㄢ ㄅㄨˋ ㄑㄩˇ,sānbùqǔ,trilogy
12443,12444,三國演義,精熟,第7級,,24,1,[],ㄙㄢ ㄍㄨㄛˊ ㄧㄢˇ ㄧˋ,sānguóyǎnyì,"Romance of the Three Kingdoms by Luo Guanzhong 羅貫中|罗贯中[Luo2 Guan4 zhong1], one of the Four Classic Novels of Chinese literature, a fictional account of the Three Kingdoms at the break-up of the Han around 200 AD, portraying Liu Bei's 劉備|刘备[Liu2 Bei4] Shu Han 蜀漢|蜀汉[Shu3 Han4] as heroes and Cao Cao's 曹操[Cao2 Cao1] Wei 魏[Wei4] as villains"
12444,12445,散漫,精熟,第7級,,3,1,"[['散漫', ['38939']]]",ㄙㄢˇ ㄇㄢˋ,sǎnmàn,"undisciplined, unorganized"
12445,12446,三思,精熟,第7級,,4,1,"[['三思', ['38912']]]",ㄙㄢ ㄙ,sānsī,to think twice
12446,12447,喪命,精熟,第7級,,6,14,"[['喪命', ['38975']]]",ㄙㄤˋ ㄇㄧㄥˋ,sàngmìng,to lose one's life
12447,12448,喪氣,精熟,第7級,,4,2,"[['喪氣', ['38979']]]",ㄙㄤˋ ㄑㄧˋ,sàngqì,"to feel disheartened, unlucky"
12448,12449,搔,精熟,第7級,,7,1,"[['搔', ['38785']]]",ㄙㄠ,sāo,"to scratch, old variant of 騷|骚[sao1]"
12449,12450,掃蕩,精熟,第7級,,3,3,"[['掃蕩', ['38802']]]",ㄙㄠˇ ㄉㄤˋ,sǎodàng,"to root out, to wipe out"
12450,12451,騷亂,精熟,第7級,,3,1,"[['騷亂', ['38793']]]",ㄙㄠ ㄌㄨㄢˋ,sāoluàn,"disturbance, riot, to create a disturbance"
12451,12452,掃視,精熟,第7級,,4,0,[],ㄙㄠˇ ㄕˋ,sǎoshì,"to run one's eyes over, to sweep one's eyes over"
12452,12453,掃興,精熟,第7級,,3,2,"[['掃興', ['38809']]]",ㄙㄠˇ ㄒㄧㄥˋ,sǎoxìng,"to spoil things, to dampen spirits, to feel deflated, to be dispirited"
12453,12454,色調,精熟,第7級,,4,1,"[['色調', ['38746']]]",ㄙㄜˋ ㄉㄧㄠˋ,sèdiào,"hue, tone"
12454,12455,色澤,精熟,第7級,,7,8,"[['色澤', ['38753']]]",ㄙㄜˋ ㄗㄜˊ,sèzé,color and luster
12455,12456,森嚴,精熟,第7級,,4,2,"[['森嚴', ['38956']]]",ㄙㄣ ㄧㄢˊ,sēnyán,"strict, rigid, tight (security)"
12456,12457,僧侶,精熟,第7級,,5,15,"[['僧侶', ['38990']]]",ㄙㄥ ㄌㄩˇ,sēnglǚ,monk
12457,12458,煞,精熟,第7級,,4,4,"[['煞', ['33865', '33881']]]",ㄕㄚˋ,shà,"fiend, demon, very, (Tw) SARS (loanword)"
12458,12459,煞,精熟,第7級,,4,4,"[['煞', ['33865', '33881']]]",ㄕㄚ,shā,"to terminate, to cut short, to bring to a stop, to squeeze, to tighten, to damage, variant of 殺|杀[sha1]"
12459,12460,紗,精熟,第7級,,3,9,"[['紗', ['33821']]]",ㄕㄚ,shā,"cotton yarn, muslin"
12460,12461,沙場,精熟,第7級,,3,1,"[['沙場', ['33803']]]",ㄕㄚ ㄔㄤˇ,shāchǎng,"sandpit, battleground, battlefield"
12461,12462,沙地,精熟,第7級,,4,3,[],ㄕㄚ ㄉㄧˋ,shādì,"sandy beach or river bank, sand dune, sandy land"
12462,12463,殺機,精熟,第7級,,2,0,"[['殺機', ['33837']]]",ㄕㄚ ㄐㄧ,shājī,"desire to commit murder, great danger"
12463,12464,沙龍,精熟,第7級,,4,4,"[['沙龍', ['33796']]]",ㄕㄚ ㄌㄨㄥˊ,shālóng,salon (loanword)
12464,12465,殺戮,精熟,第7級,,7,4,"[['殺戮', ['33835']]]",ㄕㄚ ㄌㄨˋ,shālù,"to massacre, to slaughter"
12465,12466,殺人犯,精熟,第7級,,5,0,"[['殺人犯', ['33858']]]",ㄕㄚ ㄖㄣˊ ㄈㄢˋ,shārénfàn,"murderer, homicide"
12466,12467,殺身,精熟,第7級,,4,1,"[['殺身', ['33849']]]",ㄕㄚ ㄕㄣ,shāshēn,to give up one's life; to lose one's life
12467,12468,霎時,精熟,第7級,,5,1,"[['霎時', ['33887']]]",ㄕㄚˋ ㄕˊ,shàshí,in a split second
12468,12469,殺頭,精熟,第7級,,4,1,[],ㄕㄚ ㄊㄡˊ,shātóu,to behead
12469,12470,煞有介事,精熟,第7級,,2,0,"[['煞有介事', ['33885']]]",ㄕㄚˋ ㄧㄡˇ ㄐㄧㄝˋ ㄕˋ,shàyǒujièshì,"to make a show of being very much in earnest (idiom), to act as if one is taking things very seriously"
12470,12471,閃動,精熟,第7級,,3,0,"[['閃動', ['34489']]]",ㄕㄢˇ ㄉㄨㄥˋ,shǎndòng,to flicker or flash
12471,12472,山河,精熟,第7級,,5,1,"[['山河', ['34421']]]",ㄕㄢ ㄏㄜˊ,shānhé,"mountains and rivers, the whole country"
12472,12473,善後,精熟,第7級,,5,2,"[['善後', ['34520']]]",ㄕㄢˋ ㄏㄡˋ,shànhòu,"to deal with the aftermath (arising from an accident), funeral arrangements, reparations"
12473,12474,珊瑚,精熟,第7級,,4,61,"[['珊瑚', ['34470']]]",ㄕㄢ ㄏㄨˊ,shānhú,coral
12474,12475,善解人意,精熟,第7級,,2,1,"[['善解人意', ['34521']]]",ㄕㄢˋ ㄐㄧㄝˇ ㄖㄣˊ ㄧˋ,shànjiěrényì,to be good at understanding others (idiom)
12475,12476,山嶺,精熟,第7級,,4,1,"[['山嶺', ['34412']]]",ㄕㄢ ㄌㄧㄥˇ,shānlǐng,mountain ridge
12476,12477,山麓,精熟,第7級,,3,3,"[['山麓', ['34413']]]",ㄕㄢ ㄌㄨˋ,shānlù,foothills
12477,12478,山巒,精熟,第7級,,4,1,"[['山巒', ['34414']]]",ㄕㄢ ㄌㄨㄢˊ,shānluán,"mountain range, unbroken chain of peaks"
12478,12479,善事,精熟,第7級,,3,3,"[['善事', ['34528']]]",ㄕㄢˋ ㄕˋ,shànshì,good deeds
12479,12480,閃現,精熟,第7級,,3,0,[],ㄕㄢˇ ㄒㄧㄢˋ,shǎnxiàn,to flash
12480,12481,山腰,精熟,第7級,,4,1,"[['山腰', ['34449']]]",ㄕㄢ ㄧㄠ,shānyāo,halfway up a mountain
12481,12482,山野,精熟,第7級,,5,1,"[['山野', ['34447']]]",ㄕㄢ ㄧㄝˇ,shānyě,mountain and fields
12482,12483,擅於,精熟,第7級,,4,1,[],ㄕㄢˋ ㄩˊ,shànyú,specialize in
12483,12484,山岳,精熟,第7級,,2,0,"[['山岳', ['34454']]]",ㄕㄢ ㄩㄝˋ,shānyuè,"mountain, hill, lofty mountain"
12484,12485,山珍海味,精熟,第7級,,3,3,"[['山珍海味', ['34433']]]",ㄕㄢ ㄓㄣ ㄏㄞˇ ㄨㄟˋ,shānzhēnhǎiwèi,"exotic delicacies, luxury foodstuff from distant locations"
12485,12486,傷疤,精熟,第7級,,3,1,[],ㄕㄤ ㄅㄚ,shāngbā,"scar, CL:道[dao4]"
12486,12487,上蒼,精熟,第7級,,4,4,"[['上蒼', ['34949']]]",ㄕㄤˋ ㄘㄤ,shàngcāng,heaven
12487,12488,上策,精熟,第7級,,3,1,"[['上策', ['34947']]]",ㄕㄤˋ ㄘㄜˋ,shàngcè,a clever strategy or method
12488,12489,商朝,精熟,第7級,,2,1,[],ㄕㄤ ㄔㄠˊ,shāngcháo,Shang Dynasty (c. 1600-1046 BC)
12489,12490,上吊,精熟,第7級,,6,1,"[['上吊', ['34888']]]",ㄕㄤˋ ㄉㄧㄠˋ,shàngdiào,to hang oneself
12490,12491,傷痕,精熟,第7級,,6,7,"[['傷痕', ['34842']]]",ㄕㄤ ㄏㄣˊ,shānghén,"scar, bruise"
12491,12492,尚可,精熟,第7級,,3,0,"[['尚可', ['34973']]]",ㄕㄤˋ ㄎㄜˇ,shàngkě,"not bad, satisfactory"
12492,12493,尚且,精熟,第7級,,5,1,"[['尚且', ['34975']]]",ㄕㄤˋ ㄑㄧㄝˇ,shàngqiě,"(not) even, yet, still"
12493,12494,商榷,精熟,第7級,,2,1,"[['商榷', ['34814']]]",ㄕㄤ ㄑㄩㄝˋ,shāngquè,"to discuss, to bring up various ideas for discussion"
12494,12495,上乘,精熟,第7級,,3,1,"[['上乘', ['34944']]]",ㄕㄤˋ ㄕㄥˋ,shàngshèng,"first-class, best quality, also pr. [shang4 sheng4]"
12495,12496,上昇,精熟,第7級,,4,1,[],ㄕㄤˋ ㄕㄥ,shàngshēng,to rise
12496,12497,上書,精熟,第7級,,15,1,[],ㄕㄤˋ ㄕㄨ,shàngshū,"to write a letter (to the authorities), to present a petition"
12497,12498,賞賜,精熟,第7級,,11,1,"[['賞賜', ['34866']]]",ㄕㄤˇ ㄙˋ,shǎngsì,"to bestow a reward, a reward"
